Event String Code,Lap,Sector,Distance around lap,Message
[OVTK],1,1,459.68509,User [ID:11-STROLL-Aston Martin-Canadian-18] has overtaken [ID:9-MAGNUSSEN-Haas-Danish-20]
[OVTK],1,1,501.08139,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:2-PIASTRI-McLaren-Australian-81]
[OVTK],1,1,496.35843,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,1,458.94254,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:5-ALBON-Williams-Thai-23]
[OVTK],1,1,587.95093,User [ID:2-PIASTRI-McLaren-Australian-81] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],1,1,503.71365,User [ID:5-ALBON-Williams-Thai-23] has overtaken [ID:3-OCON-Alpine-French-31]
[OVTK],1,1,571.43958,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:5-ALBON-Williams-Thai-23]
[OVTK],1,1,801.75629,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],1,1,1142.13184,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:2-PIASTRI-McLaren-Australian-81]
[OVTK],1,1,1058.8313,User [ID:5-ALBON-Williams-Thai-23] has overtaken [ID:3-OCON-Alpine-French-31]
[OVTK],1,2,1246.03882,User [ID:4-SAINZ-Ferrari-Spanish-55] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,2,1395.26331,User [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] has overtaken [ID:1-LECLERC-Ferrari-Monegasque-16]
[OVTK],1,2,1246.3269,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:5-ALBON-Williams-Thai-23]
[OVTK],1,2,1387.05591,User [ID:4-SAINZ-Ferrari-Spanish-55] has overtaken [ID:10-HAMILTON-Mercedes-British-44]
[OVTK],1,2,1401.63135,User [ID:2-PIASTRI-McLaren-Australian-81] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],1,2,1383.91895,User [ID:13-RUSSELL-Mercedes-British-63] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,2,1394.2699,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,2,1387.37781,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,2,1388.62146,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:13-RUSSELL-Mercedes-British-63]
[COLL],1,2,1388.63342,Collision between user [ID:13-RUSSELL-Mercedes-British-63] and user [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,2,1358.88684,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:6-ZHOU-Sauber-Chinese-24]
[OVTK],1,2,1392.77307,User [ID:13-RUSSELL-Mercedes-British-63] has overtaken [ID:16-GASLY-Alpine-French-10]
[OVTK],1,2,1393.96436,User [ID:7-RICCIARDO-RB-Australian-3] has overtaken [ID:16-GASLY-Alpine-French-10]
[OVTK],1,2,1394.66296,User [ID:7-RICCIARDO-RB-Australian-3] has overtaken [ID:13-RUSSELL-Mercedes-British-63]
[OVTK],1,2,1424.60693,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:2-PIASTRI-McLaren-Australian-81]
[COLL],1,2,1402.00623,Collision between user [ID:13-RUSSELL-Mercedes-British-63] and user [ID:16-GASLY-Alpine-French-10]
[OVTK],1,2,1387.7345,User [ID:6-ZHOU-Sauber-Chinese-24] has overtaken [ID:3-OCON-Alpine-French-31]
[OVTK],1,2,1441.87195,User [ID:4-SAINZ-Ferrari-Spanish-55] has overtaken [ID:10-HAMILTON-Mercedes-British-44]
[OVTK],1,2,1394.13037,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:6-ZHOU-Sauber-Chinese-24]
[OVTK],1,2,1505.474,User [ID:6-ZHOU-Sauber-Chinese-24] has overtaken [ID:3-OCON-Alpine-French-31]
[OVTK],1,2,1754.43542,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,2,1980.62964,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:1-LECLERC-Ferrari-Monegasque-16]
[SPTP],1,2,2030.71509,User [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] went fastest in the session with [298.394] kph.
[SPTP],1,2,2029.70996,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] went fastest in the session with [309.357] kph.
[SPTP],1,2,2029.50525,User [ID:1-LECLERC-Ferrari-Monegasque-16] went fastest in the session with [312.344] kph.
[OVTK],1,2,1944.84253,User [ID:4-SAINZ-Ferrari-Spanish-55] has overtaken [ID:10-HAMILTON-Mercedes-British-44]
[OVTK],1,2,1823.4917,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:6-ZHOU-Sauber-Chinese-24]
[SPTP],1,2,2028.94849,User [ID:4-SAINZ-Ferrari-Spanish-55] went fastest in the session with [313.054] kph.
[OVTK],1,2,2205.83789,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],1,2,2208.16016,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,2,2228.59399,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:13-RUSSELL-Mercedes-British-63]
[OVTK],1,2,2396.83154,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:1-LECLERC-Ferrari-Monegasque-16]
[OVTK],1,2,2271.97681,User [ID:13-RUSSELL-Mercedes-British-63] has overtaken [ID:16-GASLY-Alpine-French-10]
[OVTK],1,2,2535.62695,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],1,2,2415.91162,User [ID:4-SAINZ-Ferrari-Spanish-55] has overtaken [ID:10-HAMILTON-Mercedes-British-44]
[OVTK],1,2,2461.38843,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:13-RUSSELL-Mercedes-British-63]
[OVTK],1,2,2706.67114,User [ID:13-RUSSELL-Mercedes-British-63] has overtaken [ID:16-GASLY-Alpine-French-10]
[FTLP],1,3,4323.03516,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] set fastest lap with [70.744]
[DRSE],NA,NA,NA,DRS has been enabled
[OVTK],2,1,419.95166,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:18-NORRIS-McLaren-British-4]
[OVTK],2,1,458.26953,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],2,1,498.67041,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:18-NORRIS-McLaren-British-4]
[OVTK],2,1,740.45947,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],2,1,1080.19189,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:18-NORRIS-McLaren-British-4]
[OVTK],2,2,1450.45752,User [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],2,2,1400.44727,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],2,2,1425.6748,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:18-NORRIS-McLaren-British-4]
[SPTP],2,2,2028.76367,User [ID:1-LECLERC-Ferrari-Monegasque-16] went fastest in the session with [321.747] kph.
[OVTK],2,2,2250.90234,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],2,2,2270.92969,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:18-NORRIS-McLaren-British-4]
[OVTK],2,2,2399.61035,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],2,3,3793.66797,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:1-LECLERC-Ferrari-Monegasque-16]
[COLL],2,3,3833.30371,Collision between user [ID:17-ALONSO-Aston Martin-Spanish-14] and user [ID:1-LECLERC-Ferrari-Monegasque-16]
[OVTK],2,3,3946.59082,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],2,3,3959.06543,User [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[DTSV],2,3,4016.18066,User [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] is serving a drive through pen
[OVTK],2,3,4266.56152,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],2,3,4274.22656,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[FTLP],2,3,4323.05664,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] set fastest lap with [69.269]
[OVTK],2,3,4282.6377,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[FTLP],2,3,4323.2041,User [ID:17-ALONSO-Aston Martin-Spanish-14] set fastest lap with [67.849]
[OVTK],2,3,4299.39844,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],2,3,4314.52734,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],2,3,4320.62207,User [ID:2-PIASTRI-McLaren-Australian-81] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,4.21094,User [ID:4-SAINZ-Ferrari-Spanish-55] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,9.96289,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,28.04102,User [ID:7-RICCIARDO-RB-Australian-3] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,34.92188,User [ID:13-RUSSELL-Mercedes-British-63] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,49.74902,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,58.27246,User [ID:11-STROLL-Aston Martin-Canadian-18] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,79.73535,User [ID:9-MAGNUSSEN-Haas-Danish-20] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,90.46484,User [ID:12-BOTTAS-Sauber-Finnish-77] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,100.09961,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,113.27051,User [ID:6-ZHOU-Sauber-Chinese-24] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,120.50879,User [ID:5-ALBON-Williams-Thai-23] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,140.67383,User [ID:0-SARGEANT-Williams-American-2] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,1,149.08398,User [ID:14-HULKENBERG-Haas-German-27] has overtaken [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33]
[OVTK],3,2,1440.08105,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[FTLP],3,3,4323.2832,User [ID:17-ALONSO-Aston Martin-Spanish-14] set fastest lap with [67.099]
[OVTK],4,2,1224.47852,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],4,2,1343.13477,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],4,2,1390.06445,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
